gene,sample,expression,time
Rpl14-ps1,GSM2545336,38,8
Glra3,GSM2545336,339,8
Plekhh3,GSM2545336,1920,8
Pcdhga1,GSM2545336,173,8
Gm9899,GSM2545336,1122,8
Eps8l1,GSM2545336,437,8
Serpina3g,GSM2545336,37,8
Pcdh17,GSM2545336,1747,8
Riok3,GSM2545336,4277,8
Dcaf12l2,GSM2545336,24,8
Ankrd6,GSM2545336,775,8
Dhrs11,GSM2545336,514,8
Zdhhc22,GSM2545336,378,8
Hmgb3,GSM2545336,627,8
Mid1,GSM2545336,268,8
Celf3,GSM2545336,1744,8
Akap5,GSM2545336,297,8
Phlda3,GSM2545336,608,8
Arfgap2,GSM2545336,4200,8
Gabpb1,GSM2545336,1408,8
Mybpc1,GSM2545336,2896,8
Nfkbia,GSM2545336,1622,8
Gabra3,GSM2545336,1470,8
Gtpbp2,GSM2545336,2428,8
Ptgdr,GSM2545336,25,8
Myh15,GSM2545336,26,8
Ciz1,GSM2545336,1589,8
Tmem62,GSM2545336,2994,8
Pan3,GSM2545336,5156,8
Pld3,GSM2545336,3588,8
Trim3,GSM2545336,7438,8
Spata2l,GSM2545336,613,8
Gm2223,GSM2545336,27,8
Dnah1,GSM2545336,190,8
Pnoc,GSM2545336,143,8
Dzank1,GSM2545336,10981,8
Safb2,GSM2545336,2858,8
Rnf128,GSM2545336,1297,8
Jpx,GSM2545336,365,8
Il16,GSM2545336,6634,8
Slc26a7,GSM2545336,436,8
Rspo1,GSM2545336,36,8
Hcfc2,GSM2545336,1841,8
Gm35315,GSM2545336,90,8
Tyrp1,GSM2545336,6,8
Pank4,GSM2545336,1862,8
Ngef,GSM2545336,758,8
Llgl1,GSM2545336,3151,8
Usp12,GSM2545336,2820,8
Ppp2r2d,GSM2545336,2854,8
Zfp677,GSM2545336,125,8
Heyl,GSM2545336,191,8
Sin3b,GSM2545336,2629,8
Sidt1,GSM2545336,2052,8
Spin2c,GSM2545336,168,8
Wasf2,GSM2545336,1376,8
Tmem14a,GSM2545336,728,8
Cntnap5a,GSM2545336,691,8
Ccm2l,GSM2545336,170,8
Sema3e,GSM2545336,700,8
Il18bp,GSM2545336,328,8
Slc35f1,GSM2545336,1386,8
Best1,GSM2545336,63,8
Pde8b,GSM2545336,929,8
Htr7,GSM2545336,143,8
Cfap57,GSM2545336,30,8
Sgsm1,GSM2545336,4879,8
Scn3b,GSM2545336,595,8
Mark3,GSM2545336,3782,8
Acsl5,GSM2545336,749,8
Qpct,GSM2545336,243,8
Iqcc,GSM2545336,675,8
Noc2l,GSM2545336,2435,8
Slc25a27,GSM2545336,4758,8
Kdm4b,GSM2545336,3254,8
Pde1b,GSM2545336,2150,8
Pcdha10,GSM2545336,80,8
Gja5,GSM2545336,16,8
Irs4,GSM2545336,78,8
Mamdc4,GSM2545336,88,8
Mthfd2l,GSM2545336,386,8
Lrrtm1,GSM2545336,435,8
Tacr1,GSM2545336,99,8
Lmo3,GSM2545336,496,8
Psg16,GSM2545336,998,8
Abcc8,GSM2545336,2210,8
Epc1,GSM2545336,3055,8
Slc6a7,GSM2545336,707,8
Col4a5,GSM2545336,348,8
Gm8013,GSM2545336,9,8
Clpx,GSM2545336,2386,8
Dffb,GSM2545336,481,8
Senp3,GSM2545336,2477,8
Hhex,GSM2545336,57,8
Per2,GSM2545336,2370,8
Rnpep,GSM2545336,1395,8
Ttll1,GSM2545336,869,8
Ppp1r1c,GSM2545336,30,8
Moxd1,GSM2545336,156,8
Susd6,GSM2545336,5578,8
Ighm,GSM2545336,264,8
Fam131a,GSM2545336,3595,8
Zfp92,GSM2545336,91,8
Kirrel,GSM2545336,590,8
Npsr1,GSM2545336,30,8
Kcnj16,GSM2545336,1611,8
Atg10,GSM2545336,348,8
Vwc2l,GSM2545336,116,8
Sox14,GSM2545336,51,8
Zc3h3,GSM2545336,453,8
Gak,GSM2545336,4913,8
Tox2,GSM2545336,400,8
Tenm2,GSM2545336,1152,8
Begain,GSM2545336,1601,8
Dsc3,GSM2545336,20,8
Fbll1,GSM2545336,403,8
Dnah7a,GSM2545336,27,8
Gm3764,GSM2545336,4974,8
Strip1,GSM2545336,3332,8
Nmnat3,GSM2545336,59,8
Lims2,GSM2545336,319,8
Fam43b,GSM2545336,313,8
Ccnl2,GSM2545336,7649,8
Gm11627,GSM2545336,20,8
Rabl2,GSM2545336,920,8
Kcnj3,GSM2545336,5244,8
Zfp36,GSM2545336,261,8
Slc2a1,GSM2545336,7098,8
Cnksr3,GSM2545336,3248,8
AW551984,GSM2545336,670,8
Hykk,GSM2545336,195,8
Rnasel,GSM2545336,154,8
Shc1,GSM2545336,592,8
Ppp1r12c,GSM2545336,4128,8
Syne4,GSM2545336,333,8
Arrdc2,GSM2545336,1520,8
Usp28,GSM2545336,2000,8
Slfn4,GSM2545336,11,8
Pomt2,GSM2545336,1367,8
Gm10432,GSM2545336,178,8
Cngb1,GSM2545336,26,8
Dot1l,GSM2545336,6088,8
Gmnn,GSM2545336,148,8
Ccdc160,GSM2545336,96,8
Ptpn5,GSM2545336,1193,8
Mal2,GSM2545336,563,8
Arap3,GSM2545336,285,8
Mib2,GSM2545336,2689,8
Itgb1bp2,GSM2545336,62,8
Stk32b,GSM2545336,104,8
Dgkb,GSM2545336,1291,8
Pcgf6,GSM2545336,1031,8
Serinc2,GSM2545336,719,8
Arhgef37,GSM2545336,930,8
Ltf,GSM2545336,26,8
Timp2,GSM2545336,6154,8
Snora41,GSM2545336,20,8
F3,GSM2545336,3495,8
Tgfbi,GSM2545336,274,8
Rab44,GSM2545336,5,8
Lclat1,GSM2545336,1001,8
Arid5b,GSM2545336,2111,8
Col25a1,GSM2545336,521,8
Inpp5b,GSM2545336,2670,8
Dhfr,GSM2545336,391,8
Phkg2,GSM2545336,2124,8
Bcl11a,GSM2545336,625,8
Nr2f1,GSM2545336,1867,8
Trhr,GSM2545336,83,8
Msc,GSM2545336,14,8
Mndal,GSM2545336,113,8
Pou3f2,GSM2545336,949,8
Gm9962,GSM2545336,30,8
Atg16l2,GSM2545336,897,8
Gm16425,GSM2545336,10,8
Ap1m1,GSM2545336,2045,8
Trpv3,GSM2545336,40,8
Inpp5k,GSM2545336,3136,8
D11Wsu47e,GSM2545336,220,8
Fkbp1b,GSM2545336,318,8
Syvn1,GSM2545336,2092,8
Aldh3a2,GSM2545336,3057,8
Dtd2,GSM2545336,362,8
Pcdh19,GSM2545336,470,8
Gm5526,GSM2545336,14,8
Nsun5,GSM2545336,624,8
Hrh2,GSM2545336,285,8
Lmbr1l,GSM2545336,604,8
Pkn1,GSM2545336,1295,8
Nptx2,GSM2545336,131,8
Ctxn1,GSM2545336,366,8
Rp1,GSM2545336,2,8
Gm7357,GSM2545336,3,8
Mrpl15,GSM2545336,1269,8
Lypla1,GSM2545336,2426,8
Tcea1,GSM2545336,4019,8
Gm6104,GSM2545336,2,8
Atp6v1h,GSM2545336,5419,8
Oprk1,GSM2545336,116,8
Npbwr1,GSM2545336,12,8
Rb1cc1,GSM2545336,6613,8
Gm2147,GSM2545336,1,8
Gm26901,GSM2545336,2,8
Sntg1,GSM2545336,546,8
Gm6187,GSM2545336,2,8
Rrs1,GSM2545336,886,8
Mcmdc2,GSM2545336,49,8
Snhg6,GSM2545336,356,8
Snord87,GSM2545336,2,8
Tcf24,GSM2545336,13,8
Ppp1r42,GSM2545336,20,8
Arfgef1,GSM2545336,6204,8
Cpa6,GSM2545336,5,8
Ncoa2,GSM2545336,5292,8
Tram1,GSM2545336,1935,8
Gm5523,GSM2545336,1,8
Eya1,GSM2545336,412,8
Smt3h2-ps4,GSM2545336,1,8
Trpa1,GSM2545336,7,8
Gm10566,GSM2545336,7,8
Terf1,GSM2545336,706,8
Rdh10,GSM2545336,948,8
Stau2,GSM2545336,4424,8
Ly96,GSM2545336,30,8
Jph1,GSM2545336,1519,8
Gdap1,GSM2545336,6312,8
Rbm6-ps1,GSM2545336,10,8
Pi15,GSM2545336,38,8
Gm28154,GSM2545336,22,8
Gm16070,GSM2545336,8,8
Gm15825,GSM2545336,5,8
Tfap2d,GSM2545336,269,8
Tfap2b,GSM2545336,2522,8
Pkhd1,GSM2545336,2,8
Mir133b,GSM2545336,4,8
Il17f,GSM2545336,6,8
Paqr8,GSM2545336,20798,8
Tram2,GSM2545336,18,8
Gm7658,GSM2545336,11,8
Gm7761,GSM2545336,6,8
Mir30c-2,GSM2545336,9,8
Ogfrl1,GSM2545336,11066,8
Smap1,GSM2545336,3778,8
Fam135a,GSM2545336,3344,8
Col19a1,GSM2545336,1092,8
Lmbrd1,GSM2545336,11138,8
Gm20172,GSM2545336,0,8
Gm29214,GSM2545336,3,8
Gm7846,GSM2545336,11,8
Gm5525,GSM2545336,20,8
Phf3,GSM2545336,4748,8
Khdrbs2,GSM2545336,285,8
Gm5415,GSM2545336,1,8
Zfp451,GSM2545336,1365,8
Gm15455,GSM2545336,13,8
Bend6,GSM2545336,10373,8
Ptpn18,GSM2545336,51,8
Cfc1,GSM2545336,4,8
Amer3,GSM2545336,2397,8
Fam168b,GSM2545336,13578,8
Gm33222,GSM2545336,8,8
Kansl3,GSM2545336,4178,8
Fer1l5,GSM2545336,2,8
Cnnm4,GSM2545336,1234,8
Sema4c,GSM2545336,1149,8
Cox5b,GSM2545336,6761,8
Zap70,GSM2545336,36,8
Tmem131,GSM2545336,3644,8
Cnga3,GSM2545336,5,8
Unc50,GSM2545336,1693,8
Lipt1,GSM2545336,125,8
Mrpl30,GSM2545336,1347,8
Lyg2,GSM2545336,5,8
Txndc9,GSM2545336,2140,8
Eif5b,GSM2545336,6131,8
Gm16150,GSM2545336,10,8
Gm16152,GSM2545336,1,8
Pdcl3,GSM2545336,1329,8
Rpl31,GSM2545336,3522,8
Tbc1d8,GSM2545336,1747,8
Cnot11,GSM2545336,1764,8
Snord89,GSM2545336,18,8
Rnf149,GSM2545336,1233,8
Rfx8,GSM2545336,7,8
Gm16894,GSM2545336,27,8
Il1rl2,GSM2545336,25,8
Il1rl1,GSM2545336,17,8
Il18r1,GSM2545336,1,8
Slc9a4,GSM2545336,13,8
Mfsd9,GSM2545336,168,8
Tmem182,GSM2545336,13,8
Gm28175,GSM2545336,25,8
Pantr1,GSM2545336,318,8
Pou3f3,GSM2545336,1808,8
Pantr2,GSM2545336,38,8
Mrps9,GSM2545336,1421,8
Gpr45,GSM2545336,135,8
Tgfbrap1,GSM2545336,2835,8
Fhl2,GSM2545336,153,8
Nck2,GSM2545336,827,8
Uxs1,GSM2545336,1599,8
Gm16103,GSM2545336,0,8
Tpp2,GSM2545336,3453,8
Tex30,GSM2545336,284,8
Bivm,GSM2545336,1145,8
Gulp1,GSM2545336,280,8
Wdr75,GSM2545336,1341,8
Dnah7b,GSM2545336,606,8
Gm4852,GSM2545336,4,8
Gm8337,GSM2545336,19,8
Nabp1,GSM2545336,440,8
Gm17767,GSM2545336,2,8
Myo1b,GSM2545336,990,8
Stat4,GSM2545336,12,8
Stat1,GSM2545336,1772,8
Gls,GSM2545336,14726,8
Rps27a-ps1,GSM2545336,5,8
Gm28178,GSM2545336,2,8
Inpp1,GSM2545336,3831,8
Mstn,GSM2545336,31,8
Asnsd1,GSM2545336,911,8
Gtf3c3,GSM2545336,1220,8
Pgap1,GSM2545336,2015,8
Gm19637,GSM2545336,3,8
Ankrd44,GSM2545336,818,8
Sf3b1,GSM2545336,18460,8
Gm6822,GSM2545336,14,8
Boll,GSM2545336,15,8
Gm8292,GSM2545336,14,8
Plcl1,GSM2545336,1571,8
Gm6644,GSM2545336,2,8
Satb2,GSM2545336,26,8
BC055402,GSM2545336,2,8
Tyw5,GSM2545336,609,8
Spats2l,GSM2545336,412,8
Aox4,GSM2545336,7,8
Aox2,GSM2545336,7,8
Bzw1,GSM2545336,9692,8
Clk1,GSM2545336,8661,8
Ppil3,GSM2545336,437,8
Nif3l1,GSM2545336,819,8
Cflar,GSM2545336,1403,8
Casp8,GSM2545336,83,8
Stradb,GSM2545336,1180,8
Tmem237,GSM2545336,1011,8
Cdk15,GSM2545336,9,8
Fzd7,GSM2545336,2540,8
Sumo1,GSM2545336,3701,8
Fam117b,GSM2545336,4736,8
Wdr12,GSM2545336,1306,8
Nbeal1,GSM2545336,1177,8
Abi2,GSM2545336,5627,8
Cd28,GSM2545336,68,8
Gm11581,GSM2545336,3,8
Icos,GSM2545336,2,8
Nrp2,GSM2545336,512,8
Gm4208,GSM2545336,4,8
Ndufs1,GSM2545336,8672,8
Eef1b2,GSM2545336,4522,8
Gpr1,GSM2545336,17,8
Gm11605,GSM2545336,5,8
Adam23,GSM2545336,8389,8
Dytn,GSM2545336,1,8
Mdh1b,GSM2545336,24,8
Gm13748,GSM2545336,4,8
Ccnyl1,GSM2545336,557,8
Plekhm3,GSM2545336,2149,8
Rpl10a-ps1,GSM2545336,31,8
Cryga,GSM2545336,2,8
Pikfyve,GSM2545336,2738,8
Map2,GSM2545336,25843,8
Unc80,GSM2545336,19726,8
Kansl1l,GSM2545336,1346,8
Acadl,GSM2545336,2285,8
Gm15793,GSM2545336,0,8
Spag16,GSM2545336,120,8
Bard1,GSM2545336,18,8
Abca12,GSM2545336,5,8
Atic,GSM2545336,1139,8
Fn1,GSM2545336,3287,8
Gm5256,GSM2545336,2,8
Tmem169,GSM2545336,784,8
Xrcc5,GSM2545336,890,8
Smarcal1,GSM2545336,3198,8
Igfbp2,GSM2545336,1946,8
Gm29183,GSM2545336,5,8
Rufy4,GSM2545336,2,8
Cxcr2,GSM2545336,3,8
Arpc2,GSM2545336,4942,8
Aamp,GSM2545336,5621,8
Tmbim1,GSM2545336,2125,8
Catip,GSM2545336,95,8
Zfp142,GSM2545336,1807,8
Rnf25,GSM2545336,1500,8
Ttll4,GSM2545336,2016,8
Prkag3,GSM2545336,23,8
Gm29539,GSM2545336,3,8
Wnt10a,GSM2545336,17,8
Ihh,GSM2545336,10,8
Slc23a3,GSM2545336,7,8
Zfand2b,GSM2545336,469,8
Ankzf1,GSM2545336,1069,8
Glb1l,GSM2545336,376,8
Ptprn,GSM2545336,6396,8
Des,GSM2545336,74,8
Asic4,GSM2545336,211,8
Chpf,GSM2545336,2459,8
Obsl1,GSM2545336,775,8
Stk11ip,GSM2545336,1096,8
Slc4a3,GSM2545336,3968,8
Epha4,GSM2545336,1223,8
Pax3,GSM2545336,368,8
Mogat1,GSM2545336,6,8
Kcne4,GSM2545336,64,8
Gm5830,GSM2545336,19,8
Scg2,GSM2545336,10063,8
Mrpl44,GSM2545336,957,8
Gm5529,GSM2545336,22,8
Fam124b,GSM2545336,0,8
Cul3,GSM2545336,9382,8
Nyap2,GSM2545336,1342,8
Rhbdd1,GSM2545336,605,8
Col4a4,GSM2545336,91,8
Col4a3,GSM2545336,64,8
Mff,GSM2545336,8414,8
Daw1,GSM2545336,29,8
Trip12,GSM2545336,8825,8
Fbxo36,GSM2545336,121,8
Slc16a14,GSM2545336,242,8
Gm15433,GSM2545336,3,8
Rpl19-ps1,GSM2545336,5,8
Sp110,GSM2545336,44,8
Sp140,GSM2545336,36,8
Sp100,GSM2545336,204,8
Cab39,GSM2545336,9797,8
Gpr55,GSM2545336,3,8
Spata3,GSM2545336,13,8
Htr2b,GSM2545336,1,8
Armc9,GSM2545336,854,8
B3gnt7,GSM2545336,18,8
Snora75,GSM2545336,8,8
Nmur1,GSM2545336,25,8
Dis3l2,GSM2545336,1001,8
Gm6136,GSM2545336,23,8
Ecel1,GSM2545336,100,8
Prss56,GSM2545336,0,8
Kcnj13,GSM2545336,368,8
Inpp5d,GSM2545336,259,8
Scarna6,GSM2545336,2,8
Sag,GSM2545336,4,8
Dgkd,GSM2545336,9867,8
Gm19582,GSM2545336,56,8
Usp40,GSM2545336,1501,8
Ugt1a7c,GSM2545336,3,8
Dnajb3,GSM2545336,36,8
Mroh2a,GSM2545336,9,8
Spp2,GSM2545336,9,8
Gm29538,GSM2545336,4,8
Glrp1,GSM2545336,2,8
Sh3bp4,GSM2545336,544,8
Gbx2,GSM2545336,7,8
Iqca,GSM2545336,44,8
Ackr3,GSM2545336,362,8
Col6a3,GSM2545336,108,8
Rab17,GSM2545336,3,8
Ube2f,GSM2545336,1564,8
Klhl30,GSM2545336,13,8
Twist2,GSM2545336,6,8
Hdac4,GSM2545336,2294,8
Ndufa10,GSM2545336,5013,8
Mir149,GSM2545336,2,8
Ankmy1,GSM2545336,31,8
Rnpepl1,GSM2545336,1323,8
Capn10,GSM2545336,1197,8
Gpr35,GSM2545336,35,8
Pask,GSM2545336,221,8
Hdlbp,GSM2545336,8648,8
Farp2,GSM2545336,359,8
Stk25,GSM2545336,6566,8
Thap4,GSM2545336,629,8
D2hgdh,GSM2545336,450,8
Pdcd1,GSM2545336,2,8
Gm7895,GSM2545336,18,8
Fam174a,GSM2545336,1902,8
Slco4c1,GSM2545336,16,8
Panct2,GSM2545336,19,8
Gm6430,GSM2545336,8,8
Gin1,GSM2545336,497,8
Pam,GSM2545336,2989,8
Cntnap5b,GSM2545336,1100,8
Cdh20,GSM2545336,1228,8
Pign,GSM2545336,978,8
Gm10193,GSM2545336,1,8
Tnfrsf11a,GSM2545336,85,8
Gm7160,GSM2545336,11,8
Gm20753,GSM2545336,5,8
Bcl2,GSM2545336,972,8
Vps4b,GSM2545336,2508,8
Serpinb5,GSM2545336,5,8
Serpinb10,GSM2545336,5,8
Gm8141,GSM2545336,17,8
Cdh7,GSM2545336,1881,8
Cdh19,GSM2545336,715,8
Gm8173,GSM2545336,1,8
Dsel,GSM2545336,447,8
Gm6028,GSM2545336,1,8
Nifk,GSM2545336,1027,8
Clasp1,GSM2545336,4044,8
Inhbb,GSM2545336,360,8
Gm3551,GSM2545336,0,8
Gm28209,GSM2545336,0,8
Cfap221,GSM2545336,11,8
Sctr,GSM2545336,11,8
Tmem37,GSM2545336,47,8
En1,GSM2545336,303,8
Insig2,GSM2545336,2833,8
Ccdc93,GSM2545336,1372,8
Htr5b,GSM2545336,17,8
Ddx18,GSM2545336,926,8
Actr3,GSM2545336,7489,8
Slc35f5,GSM2545336,826,8
Gpr39,GSM2545336,10,8
Mgat5,GSM2545336,4149,8
Gm8451,GSM2545336,38,8
Tmem163,GSM2545336,2437,8
Acmsd,GSM2545336,4,8
Zranb3,GSM2545336,207,8
Gm28800,GSM2545336,4,8
Rpl28-ps1,GSM2545336,21,8
Mir128-1,GSM2545336,3,8
Lct,GSM2545336,11,8
Gm6170,GSM2545336,29,8
Thsd7b,GSM2545336,68,8
Gm29428,GSM2545336,1,8
Cd55,GSM2545336,236,8
Gm16083,GSM2545336,18,8
C4bp-ps1,GSM2545336,8,8
Yod1,GSM2545336,531,8
Fcamr,GSM2545336,2,8
Dyrk3,GSM2545336,215,8
Ikbke,GSM2545336,73,8
Srgap2,GSM2545336,9500,8
Slc26a9,GSM2545336,0,8
Pm20d1,GSM2545336,224,8
Rab29,GSM2545336,225,8
Cdk18,GSM2545336,775,8
Gm29695,GSM2545336,178,8
Lemd1,GSM2545336,22,8
Gm7241,GSM2545336,2,8
Klhdc8a,GSM2545336,864,8
Lrrn2,GSM2545336,4030,8
Gm29257,GSM2545336,4,8
Gm28609,GSM2545336,4,8
Plekha6,GSM2545336,5453,8
Ren1,GSM2545336,6,8
Sox13,GSM2545336,342,8
Zbed6,GSM2545336,1359,8
Lax1,GSM2545336,4,8
Optc,GSM2545336,62,8
Prelp,GSM2545336,1286,8
Gm8618,GSM2545336,3,8
Mybph,GSM2545336,37,8
Myog,GSM2545336,0,8
Ppfia4,GSM2545336,9578,8
Tmem183a,GSM2545336,3232,8
Kdm5b,GSM2545336,2245,8
Ppp1r12b,GSM2545336,3648,8
Ube2t,GSM2545336,61,8
Ptprv,GSM2545336,11,8
Timm17a,GSM2545336,1965,8
Csrp1,GSM2545336,10926,8
Tnni1,GSM2545336,137,8
Lad1,GSM2545336,38,8
Pkp1,GSM2545336,4,8
Ascl5,GSM2545336,1,8
Cacna1s,GSM2545336,44,8
Gm15850,GSM2545336,0,8
Kif21b,GSM2545336,1551,8
Camsap2,GSM2545336,8687,8
Kif14,GSM2545336,15,8
Gm29485,GSM2545336,2,8
Gm19705,GSM2545336,28,8
Mif-ps1,GSM2545336,4,8
Nr5a2,GSM2545336,5,8
Ptprc,GSM2545336,106,8
Lhx9,GSM2545336,489,8
Dennd1b,GSM2545336,1069,8
Crb1,GSM2545336,18,8
Zbtb41,GSM2545336,1752,8
Cfhr2,GSM2545336,0,8
Gm5837,GSM2545336,9,8
Kcnt2,GSM2545336,100,8
Gm5835,GSM2545336,40,8
Cdc73,GSM2545336,945,8
B3galt2,GSM2545336,1103,8
Glrx2,GSM2545336,2373,8
Rgs1,GSM2545336,6,8
Gm7266,GSM2545336,5,8
Rgs18,GSM2545336,10,8
Brinp3,GSM2545336,982,8
Ptgs2os,GSM2545336,1,8
Ptgs2,GSM2545336,68,8
Tpr,GSM2545336,7180,8
Swt1,GSM2545336,761,8
Mir7682,GSM2545336,2,8
Rnf2,GSM2545336,1830,8
Gm36527,GSM2545336,3,8
Edem3,GSM2545336,4035,8
Tsen15,GSM2545336,686,8
Colgalt2,GSM2545336,143,8
Rgl1,GSM2545336,1598,8
Arpc5,GSM2545336,2571,8
Ncf2,GSM2545336,90,8
Nmnat2,GSM2545336,10452,8
Lamc2,GSM2545336,76,8
Dhx9,GSM2545336,7333,8
Rgs16,GSM2545336,740,8
Rgsl1,GSM2545336,17,8
Zfp648,GSM2545336,7,8
Gm9530,GSM2545336,8,8
Stx6,GSM2545336,2093,8
Xpr1,GSM2545336,4769,8
Gm5532,GSM2545336,12,8
Acbd6,GSM2545336,1034,8
Lhx4,GSM2545336,17,8
Cep350,GSM2545336,3506,8
Fam163a,GSM2545336,79,8
Tdrd5,GSM2545336,81,8
Nphs2,GSM2545336,14,8
Gm2000,GSM2545336,14,8
Soat1,GSM2545336,839,8
Abl2,GSM2545336,2392,8
Fam20b,GSM2545336,3917,8
Ralgps2,GSM2545336,2237,8
Angptl1,GSM2545336,12,8
Rasal2,GSM2545336,3083,8
Brinp2,GSM2545336,1336,8
Gm4953,GSM2545336,4,8
Gm31256,GSM2545336,1,8
Rabgap1l,GSM2545336,6576,8
Gm6177,GSM2545336,0,8
Rc3h1,GSM2545336,3575,8
Serpinc1,GSM2545336,1,8
Snord47,GSM2545336,21,8
Dars2,GSM2545336,745,8
Cenpl,GSM2545336,111,8
Fasl,GSM2545336,14,8
Dnm3,GSM2545336,11240,8
Dnm3os,GSM2545336,5,8
Prrc2c,GSM2545336,7798,8
Fmo2,GSM2545336,441,8
Mettl11b,GSM2545336,6,8
BC055324,GSM2545336,112,8
Sele,GSM2545336,1,8
Selp,GSM2545336,1,8
F5,GSM2545336,830,8
Nme7,GSM2545336,531,8
Atp1b1,GSM2545336,69860,8
Gm26685,GSM2545336,1,8
Dpt,GSM2545336,3,8
Gm20743,GSM2545336,221,8
Sft2d2,GSM2545336,1394,8
Tiprl,GSM2545336,2203,8
Rcsd1,GSM2545336,232,8
Gm32999,GSM2545336,3,8
Dusp27,GSM2545336,18,8
Mael,GSM2545336,6,8
Gm16418,GSM2545336,6,8
Gm16701,GSM2545336,190,8
Aldh9a1,GSM2545336,1851,8
Mgst3,GSM2545336,1984,8
Lrrc52,GSM2545336,3,8
Rxrg,GSM2545336,69,8
Lmx1a,GSM2545336,113,8
Pbx1,GSM2545336,4862,8
Asl,GSM2545337,361,0
Apod,GSM2545337,10347,0
Cyp2d22,GSM2545337,1616,0
Klk6,GSM2545337,629,0
Fcrls,GSM2545337,233,0
Slc2a4,GSM2545337,231,0
Exd2,GSM2545337,2288,0
Gjc2,GSM2545337,595,0
Plp1,GSM2545337,101241,0
Gnb4,GSM2545337,1791,0
Tnc,GSM2545337,666,0
Trf,GSM2545337,15622,0
Tubb2b,GSM2545337,3753,0
Fads1,GSM2545337,7157,0
Lxn,GSM2545337,2442,0
Prr18,GSM2545337,2102,0
Cmtm5,GSM2545337,1938,0
Enpp1,GSM2545337,643,0
Clic4,GSM2545337,7949,0
Tm6sf2,GSM2545337,129,0
Slc20a2,GSM2545337,4578,0
Itih3,GSM2545337,2427,0
Ptn,GSM2545337,6718,0
Prodh,GSM2545337,1130,0
Msantd1,GSM2545337,170,0
Ugt8a,GSM2545337,4473,0
Fbln5,GSM2545337,432,0
Trp53inp2,GSM2545337,11910,0
Slc7a3,GSM2545337,327,0
Dnase1l2,GSM2545337,352,0
Icosl,GSM2545337,425,0
Rmnd1,GSM2545337,1054,0
Tssk5,GSM2545337,64,0
Pycr1,GSM2545337,68,0
Pla2g3,GSM2545337,109,0
Vmn2r1,GSM2545337,36,0
Gm29797,GSM2545337,105,0
Phyhd1,GSM2545337,789,0
Gpr146,GSM2545337,763,0
Mag,GSM2545337,7239,0
Tufm,GSM2545337,1852,0
Igdcc4,GSM2545337,2461,0
Gm10654,GSM2545337,114,0
Ncmap,GSM2545337,37,0
Etv4,GSM2545337,342,0
Fabp7,GSM2545337,550,0
Cpsf4l,GSM2545337,78,0
Hexa,GSM2545337,1299,0
Mfge8,GSM2545337,1817,0
Ccdc136,GSM2545337,3450,0
Glul,GSM2545337,44313,0
Hopx,GSM2545337,5498,0
Pigq,GSM2545337,3540,0
Vps11,GSM2545337,2363,0
Proca1,GSM2545337,245,0
Fbxl22,GSM2545337,282,0
Sfxn5,GSM2545337,9404,0
Hexim2,GSM2545337,390,0
Agt,GSM2545337,3175,0
Rlbp1,GSM2545337,369,0
Jam2,GSM2545337,3760,0
Lcat,GSM2545337,2316,0
Oxct1,GSM2545337,14870,0
Cacna1e,GSM2545337,11476,0
Fa2h,GSM2545337,1913,0
Plxnb3,GSM2545337,993,0
Lman2l,GSM2545337,1278,0
Dpy19l1,GSM2545337,2378,0
Kctd21,GSM2545337,750,0
Thra,GSM2545337,9154,0
Dok3,GSM2545337,127,0
Sult1a1,GSM2545337,564,0
Rpe,GSM2545337,1309,0
Acrbp,GSM2545337,341,0
Slc2a9,GSM2545337,50,0
Emp2,GSM2545337,1189,0
Aipl1,GSM2545337,8,0
Uri1,GSM2545337,1909,0
Bcs1l,GSM2545337,405,0
Rbm3,GSM2545337,4745,0
Tra2a,GSM2545337,4282,0
Prex1,GSM2545337,5205,0
Josd2,GSM2545337,1209,0
Tmco3,GSM2545337,1427,0
Srebf1,GSM2545337,1548,0
Acer2,GSM2545337,300,0
Tsga10,GSM2545337,382,0
Cyp3a13,GSM2545337,57,0
Relt,GSM2545337,430,0
Nrep,GSM2545337,37493,0
Slc14a1,GSM2545337,1497,0
Pnpla2,GSM2545337,944,0
Map6d1,GSM2545337,2084,0
Ier5,GSM2545337,652,0
Bfsp2,GSM2545337,132,0
Idi1,GSM2545337,723,0
Kat2b,GSM2545337,5163,0
Rmdn3,GSM2545337,4730,0
Eif4b,GSM2545337,7637,0
Grm4,GSM2545337,13333,0
Pink1,GSM2545337,13434,0
Mettl16,GSM2545337,1108,0
Fam193b,GSM2545337,2403,0
Rtca,GSM2545337,1183,0
Fgfbp1,GSM2545337,49,0
Pigs,GSM2545337,2372,0
Cfp,GSM2545337,701,0
Desi1,GSM2545337,5793,0
Gbp4,GSM2545337,108,0
Nid1,GSM2545337,1521,0
Armcx5,GSM2545337,513,0
Cryab,GSM2545337,3166,0
Prss53,GSM2545337,133,0
Car4,GSM2545337,5109,0
Gm6277,GSM2545337,211,0
Amt,GSM2545337,1075,0
Zc3h6,GSM2545337,985,0
Aqp4,GSM2545337,21344,0
Tmem198b,GSM2545337,774,0
Abi3bp,GSM2545337,1144,0
Xpa,GSM2545337,336,0
Aldh6a1,GSM2545337,3643,0
Adam1a,GSM2545337,580,0
Dynlt1a,GSM2545337,521,0
Gatm,GSM2545337,4248,0
H2-Q4,GSM2545337,122,0
Nras,GSM2545337,1818,0
